Unnamed: 0,zipcode,communications,communications lat,communications long,energy,energy lat,energy long,food_water_shelter,food_water_shelter lat,food_water_shelter long,hazmat,hazmat lat,hazmat long,health_medical,health_medical lat,health_medical long,safe_sec,safe_sec lat,safe_sec long,transportation,transportation lat,transportation long,population,zillowprice,total lifelines
40,02043,7,42.17807311,-70.90835404,6,42.181241,-70.900514,56,42.1747561,-70.8854094,0,0.0,0.0,35,42.1811029,-70.9015038,12,42.1751079,-70.8878663,7,42.18160248,-70.90093231,22157.0,817789.0,123
41,02045,1,42.27379966,-70.86042094,0,0.0,0.0,43,42.2978346,-70.88158680000002,1,42.28300476,-70.87478638,4,42.29171,-70.87886,3,42.30220199,-70.90628073,5,42.28100000000001,-70.87218,10293.0,433678.0,57
42,02052,3,42.185789,-71.307064,2,42.19285,-71.29132,27,42.1857026,-71.30954229999998,0,0.0,0.0,14,42.18663,-71.30993000000002,3,42.1884299,-71.30745,0,0.0,0.0,12024.0,686738.0,49
43,02061,5,42.16816,-70.873761,4,42.1724514,-70.8791205,20,42.15603927,-70.87949945,1,42.16200256,-70.86492157,29,42.15755314,-70.82627781,5,42.152739,-70.837457,0,0.0,0.0,10506.0,645322.0,64
44,02062,7,42.19498,-71.19868000000002,13,42.196692,-71.19964399999998,89,42.192606,-71.19790408,0,0.0,0.0,71,42.18396305,-71.20373933,12,42.161798,-71.201658,18,42.1893196,-71.21163179999998,28602.0,487662.0,210
45,02066,1,42.193505,-70.725413,1,42.206707,-70.78037262,30,42.195882,-70.725557,0,0.0,0.0,12,42.176372,-70.744718,5,42.20293076,-70.75634122,3,42.19621,-70.72411,17656.0,594157.0,52
46,02067,6,42.0950865,-71.22099504,1,42.10624,-71.20451,15,42.12680383,-71.148191,0,0.0,0.0,13,42.096428,-71.220813,12,42.09202588,-71.17854685,2,42.12181,-71.17831,17486.0,574371.0,49
47,02072,9,42.1535127,-71.07539009999998,4,42.12320328,-71.10187531,40,42.1534301,-71.07283113,1,42.133771,-71.12554899999998,38,42.10418,-71.06788,8,42.1136399,-71.08734,11,42.12517,-71.10282,26999.0,398882.0,111
48,02081,5,42.14537,-71.25296999999998,9,42.14264877,-71.26478814,43,42.107708,-71.250024,0,0.0,0.0,22,42.1443931,-71.2167172,8,42.14450073,-71.25311279,4,42.14792,-71.25152,18472.0,518835.0,91
49,02090,3,42.2243576,-71.22353363,2,42.22415,-71.22222,23,42.2049381,-71.153368,0,0.0,0.0,14,42.22103,-71.22384,7,42.23288400000001,-71.22653299999998,4,42.21384000000001,-71.18852199999998,14636.0,762286.0,53
50,02108,15,42.37668916,-71.05937712,0,0.0,0.0,92,42.356341,-71.059917,0,0.0,0.0,30,42.357632,-71.059671,27,42.357928,-71.0607277,16,42.35668182,-71.06542206,3825.0,1310395.0,180
51,02109,10,42.357673,-71.054937,1,42.3590632,-71.0550538,66,42.36019461,-71.05542964,0,0.0,0.0,29,42.3571144,-71.0584075,13,42.35937119,-71.05640411,11,42.35924910000001,-71.0543671,3771.0,901207.0,130
52,02110,23,42.35684656,-71.05742690000002,0,0.0,0.0,42,42.35529,-71.0628,1,42.356529,-71.053352,37,42.3632351,-71.0495246,7,42.36113405,-71.052837,22,42.36024000000001,-71.04884,1733.0,1334048.0,132
53,02111,9,42.35273749,-71.06263608,0,0.0,0.0,66,42.3553111,-71.06291590000002,1,42.35275269,-71.06111145,32,42.35475,-71.06161999999998,12,42.35463046,-71.06239334,20,42.35375,-71.0598,7383.0,1012424.0,140
54,02112,0,0.0,0.0,0,0.0,0.0,1,42.35332489,-71.06092834,0,0.0,0.0,1,42.3501238,-71.06501779999998,0,0.0,0.0,0,0.0,0.0,,2196964.0,2
55,02113,4,42.36343,-71.05465,0,0.0,0.0,72,42.36398,-71.05455,0,0.0,0.0,9,42.3647004,-71.0537366,8,42.363895,-71.052711,0,0.0,0.0,6915.0,608509.0,93
56,02114,7,42.36107544,-71.06630893,0,0.0,0.0,62,42.3610037,-71.06492528,0,0.0,0.0,52,42.3625,-71.06825,22,42.3656,-71.0674,14,42.36066208,-71.05856118,11999.0,724285.0,157
57,02115,4,42.3384376,-71.10672059999997,0,0.0,0.0,63,42.34846115,-71.08442688,0,0.0,0.0,21,42.3331809,-71.10716216,25,42.33508,-71.10372,16,42.36535669,-71.06181493,28441.0,797831.0,129
58,02116,17,42.3511953,-71.0663429,0,0.0,0.0,137,42.35115977,-71.06891883,0,0.0,0.0,121,42.35115435,-71.06584914,34,42.3520909,-71.0631194,24,42.33408921,-71.07345343,20628.0,1243283.0,333
59,02117,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,42.35123,-71.0774,1,42.3491898,-71.0728226,1,42.3490049,-71.0739834,,,3
60,02118,6,42.34387,-71.06576,6,42.3429,-71.06321,65,42.3436126,-71.0648162,0,0.0,0.0,23,42.3404007,-71.07521057,13,42.33146096,-71.06457225,13,42.34521,-71.06179,26498.0,933365.0,126
61,02119,2,42.3158,-71.09794000000002,2,42.32851,-71.06895,24,42.32833,-71.08196,0,0.0,0.0,17,42.3324062,-71.07381377,16,42.3325424,-71.0750046,7,42.32474000000001,-71.08241,25346.0,481158.0,68
62,02120,2,42.33378665,-71.10382867,1,42.33353,-71.10348,10,42.33472647,-71.10204403,0,0.0,0.0,8,42.3303604,-71.1091309,8,42.332447,-71.099067,3,42.333494,-71.104096,15181.0,540842.0,32
63,02121,2,42.3061142,-71.08561707,0,0.0,0.0,20,42.30953,-71.08230999999998,0,0.0,0.0,7,42.295029,-71.05341999999997,3,42.30798,-71.08121,3,42.30987167,-71.08289337,25978.0,412656.0,35
64,02122,7,42.291619,-71.047001,6,42.30793521,-71.05830498,33,42.30527171,-71.05917938,1,42.30209918,-71.06043297,21,42.36247055,-71.06890306,4,42.286928,-71.05326,8,42.29679871,-71.05461884,23479.0,504918.0,80
65,02124,7,42.28223,-71.046952,4,42.28389,-71.04782,42,42.28327,-71.05551,0,0.0,0.0,26,42.28367,-71.04874000000002,6,42.28936768,-71.06719971,3,42.2954281,-71.0702434,47783.0,531795.0,88
66,02125,10,42.31751,-71.05028,2,42.32617569,-71.06513214,44,42.313084,-71.074242,0,0.0,0.0,7,42.31927358,-71.04622431,17,42.31416442,-71.03979237,1,42.31102243,-71.05280913,33295.0,537841.0,81
67,02126,2,42.26997,-71.09404,1,42.27057,-71.09326999999998,24,42.27143,-71.07401,0,0.0,0.0,4,42.270669,-71.07465,2,42.2689896,-71.0931473,7,42.27511,-71.09383000000003,25562.0,439385.0,40
68,02127,7,42.33603,-71.04590999999998,4,42.33457565,-71.05535126,53,42.34191,-71.05521999999998,0,0.0,0.0,24,42.33376312,-71.05145264,12,42.33224910000001,-71.0303271,10,42.33558273,-71.04167938,31799.0,732122.0,110
69,02128,7,42.3856686,-71.010162,6,42.3851,-71.00004,86,42.3745,-71.03884000000002,1,42.38924,-71.0065599,23,42.38468,-70.99941,25,42.38463,-71.03929000000002,98,42.3902445,-70.99679475,40508.0,510851.0,246
70,02129,5,42.376158,-71.065836,3,42.37186989999999,-71.06316753,26,42.38124467,-71.05334959999998,0,0.0,0.0,20,42.375924,-71.065599,14,42.37197916,-71.059249,15,42.37550754,-71.0497427,16439.0,814508.0,83
71,02130,7,42.31101,-71.1148,5,42.31271478,-71.10122393,62,42.30059,-71.11276,0,0.0,0.0,53,42.3584308,-71.05977320000002,19,42.301436,-71.110321,14,42.329572,-71.110969,35401.0,652797.0,160
72,02131,4,42.2865865,-71.1302123,5,42.28347,-71.13105,47,42.27631659,-71.13882366,0,0.0,0.0,24,42.29799600000001,-71.13131700000002,7,42.28531222,-71.12951284,9,42.34781617,-71.04280164,29826.0,560251.0,96
73,02132,10,42.28718,-71.15263,12,42.258277,-71.16118399999998,38,42.27951489,-71.1590292,0,0.0,0.0,50,42.29352,-71.13745,12,42.28352,-71.15741,7,42.27512700000001,-71.167274,25861.0,614767.0,129
74,02133,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,42.35831076,-71.06369006,0,0.0,0.0,,,3
75,02134,8,42.35444641,-71.13600159,2,42.35823002,-71.12626009,46,42.352613,-71.129032,1,42.3546159,-71.1366332,14,42.35516,-71.13033,8,42.36240387,-71.13127136,16,42.34866714,-71.13460967,21503.0,607082.0,95
76,02135,19,42.36059952,-71.14574432,7,42.3536369,-71.17411290000003,61,42.34588,-71.08743,0,0.0,0.0,51,42.33798820000001,-71.1531877,17,42.36685289,-71.06891515,22,42.34842682,-71.15474701,42780.0,517849.0,177
77,02136,4,42.2434998,-71.1317596,3,42.26490405,-71.12091243,20,42.240049,-71.14144,0,0.0,0.0,15,42.26084,-71.11896,7,42.2619318,-71.1097558,5,42.25348,-71.12796999999998,28488.0,457238.0,54
78,02138,20,42.372808,-71.120506,8,42.3754,-71.14626,72,42.3712,-71.1145,0,0.0,0.0,84,42.37569000000001,-71.14677833,58,42.38100831,-71.07208352,18,42.3800354,-71.13470459,36314.0,976963.0,260
79,02139,14,42.36558,-71.0923,3,42.37259,-71.09907,90,42.354247,-71.105386,0,0.0,0.0,61,42.36369000000001,-71.10341,33,42.35888,-71.09461999999998,21,42.36234665,-71.10246277,36349.0,826436.0,222
80,02140,7,42.39611,-71.1294,2,42.40005,-71.13343,36,42.39449920000001,-71.141689,0,0.0,0.0,45,42.39792,-71.13212,14,42.3942309,-71.14481943,11,42.39644570000001,-71.13593929999998,17607.0,837787.0,115
81,02141,3,42.3681564,-71.0746556,3,42.3735179,-71.0811015,32,42.36947914,-71.06874188,0,0.0,0.0,18,42.37266,-71.09358,13,42.36985470000001,-71.0695177,4,42.371129,-71.077164,11910.0,771220.0,73
82,02142,3,42.3653955,-71.08263865,0,0.0,0.0,33,42.3942203,-71.07142840000002,0,0.0,0.0,9,42.36429,-71.07925999999998,10,42.363655,-71.078568,1,42.3624295,-71.08617070000003,3141.0,1171961.0,56
83,02143,5,42.38029853,-71.09690532,6,42.38467407,-71.10053253,52,42.383961600000006,-71.1103696,0,0.0,0.0,32,42.38431916,-71.09212831,20,42.396909,-71.107349,14,42.38403,-71.07655,24514.0,748661.0,129
84,02144,10,42.3964,-71.121651,2,42.41356308,-71.1310184,54,42.35872483,-71.05236024,0,0.0,0.0,43,42.397,-71.1043,6,42.40018,-71.1252,7,42.40070343,-71.12207031,23891.0,855861.0,122
85,02145,7,42.394312,-71.12155600000001,7,42.39799,-71.10634,43,42.3969234,-71.1037934,0,0.0,0.0,22,42.39387,-71.09644,8,42.39544,-71.084486,4,42.392602,-71.077249,25439.0,643328.0,91
86,02148,11,42.4303333,-71.0415398,12,42.42707135,-71.05869081,52,42.42757,-71.07125,1,42.42044,-71.05636,51,42.42546,-71.06614990000001,14,42.4248159,-71.0661637,22,42.4269,-71.06068,59503.0,479450.0,163
87,02149,7,42.40625,-71.05582,6,42.40143975,-71.04173567,44,42.41134,-71.0626,0,0.0,0.0,33,42.40319,-71.04969,8,42.41011,-71.05275999999998,13,42.39589,-71.06534,41550.0,447322.0,111
88,02150,4,42.39507675,-71.04043579,7,42.3894066,-71.03859969999998,41,42.38923766,-71.04046695,1,42.3869921,-71.02943640000002,24,42.40372,-71.02325,10,42.38886815,-71.04123655,13,42.38886751,-71.04061849,35124.0,392268.0,100
89,02151,8,42.399131,-70.99930400000002,13,42.39608,-71.00901,68,42.40693,-70.99224,0,0.0,0.0,41,42.40491,-71.01613,17,42.39373,-70.99359,29,42.399549,-70.98652,51808.0,433620.0,176
90,02152,4,42.3754943,-70.9864587,3,42.382578,-70.99324313,43,42.37067011,-70.97058099,0,0.0,0.0,9,42.37473831,-70.98578274,5,42.37679958,-70.98429278,4,42.37312317,-70.99018097,17497.0,490112.0,68
91,02153,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,42.41981125,-71.10875702,0,0.0,0.0,,,1
92,02155,19,42.40948,-71.087847,22,42.41003,-71.08499,64,42.4069999,-71.0779348,1,42.42015535,-71.10687413,69,42.41969,-71.10622,22,42.418125,-71.105804,18,42.422339,-71.0905856,57964.0,614793.0,215
93,02163,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,42.36665982,-71.12206017,0,0.0,0.0,2582.0,,5
94,02169,16,42.242954,-71.0033052,18,42.2459599,-70.97364,78,42.24642,-71.00327,1,42.253291,-71.029149,119,42.255182,-70.996072,23,42.2555532,-70.9950414,15,42.2423897,-70.9808733,55055.0,462289.0,270
95,02170,4,42.26710892,-71.01670074,4,42.2574661,-71.011663,34,42.26777979999999,-71.015968,0,0.0,0.0,15,42.26883,-71.01737,5,42.27864838,-71.01519012,3,42.26654658,-71.02032557,19505.0,548526.0,65
96,02171,5,42.27544,-71.02779,4,42.30007,-71.02776999999998,43,42.28369,-71.02473,0,0.0,0.0,16,42.28584,-71.02755,5,42.2739511,-71.026155,4,42.28599929999999,-71.02637482,17711.0,513150.0,77
97,02176,5,42.45906,-71.06332990000001,6,42.46411,-71.06206999999998,23,42.440984,-71.0681447,0,0.0,0.0,35,42.46196,-71.06156,7,42.45663070000001,-71.0652313,6,42.45717,-71.06405,26983.0,635034.0,82
98,02180,8,42.49111,-71.10084,6,42.4896431,-71.10328674,29,42.45655146,-71.08290768,0,0.0,0.0,42,42.4798199,-71.1118,6,42.48071008,-71.09813947,5,42.488548,-71.099714,21437.0,549270.0,96
99,02184,11,42.22570871,-71.03123579,11,42.209506,-70.99938859999997,75,42.42436,-71.06802990000001,1,42.191245,-70.9890054,62,42.21255875,-71.01965332,14,42.2023684,-71.0013233,17,42.205071,-71.02424599999998,35744.0,514600.0,191
100,02186,3,42.25740051,-71.04035187,2,42.25952911,-71.04174805,14,42.258492,-71.039726,0,0.0,0.0,19,42.25922,-71.04288000000003,15,42.270096,-71.047226,7,42.255104,-71.045536,27003.0,715671.0,60
101,02187,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,42.2254174,-71.02737409999997,0,0.0,0.0,0,0.0,0.0,,,1
